"StateFIPS","State","Year","Value","Data Comment","Age Group"
"12","Florida","2013","Data Not Collected","","0 TO 4"
"12","Florida","2013","Data Not Collected","","5 TO 9"
"12","Florida","2013","Data Not Collected","","10 TO 14"
"12","Florida","2013","Data Not Collected","","15 TO 17"
"12","Florida","2014","Data Not Collected","","0 TO 4"
"12","Florida","2014","Data Not Collected","","5 TO 9"
"12","Florida","2014","Data Not Collected","","10 TO 14"
"12","Florida","2014","Data Not Collected","","15 TO 17"
"12","Florida","2015","Data Not Collected","","0 TO 4"
"12","Florida","2015","Data Not Collected","","5 TO 9"
"12","Florida","2015","Data Not Collected","","10 TO 14"
"12","Florida","2015","Data Not Collected","","15 TO 17"
"12","Florida","2016","4.2","","0 TO 4"
"12","Florida","2016","8.5","","5 TO 9"
"12","Florida","2016","9.8","","10 TO 14"
"12","Florida","2016","9.6","","15 TO 17"
"12","Florida","2017","16.9","","0 TO 4"
"12","Florida","2017","5.3","","5 TO 9"
"12","Florida","2017","10.0","","10 TO 14"
"12","Florida","2017","9.3","","15 TO 17"
"12","Florida","2018","Suppressed","","0 TO 4"
"12","Florida","2018","6.7","","5 TO 9"
"12","Florida","2018","10.5","","10 TO 14"
"12","Florida","2018","8.2","","15 TO 17"
"12","Florida","2019","Suppressed","","0 TO 4"
"12","Florida","2019","6.1","","5 TO 9"
"12","Florida","2019","10.0","","10 TO 14"
"12","Florida","2019","10.8","","15 TO 17"
"12","Florida","2020","Suppressed","","0 TO 4"
"12","Florida","2020","Suppressed","","5 TO 9"
"12","Florida","2020","5.3","","10 TO 14"
"12","Florida","2020","Suppressed","","15 TO 17"
"13","Georgia","2011","Data Not Collected","","0 TO 4"
"13","Georgia","2011","Data Not Collected","","5 TO 9"
"13","Georgia","2011","Data Not Collected","","10 TO 14"
"13","Georgia","2011","Data Not Collected","","15 TO 17"
"13","Georgia","2012","7.6","","0 TO 4"
"13","Georgia","2012","8.2","","5 TO 9"
"13","Georgia","2012","14.6","","10 TO 14"
"13","Georgia","2012","12.5","","15 TO 17"
"13","Georgia","2013","7.9","","0 TO 4"
"13","Georgia","2013","14.1","","5 TO 9"
"13","Georgia","2013","9.6","","10 TO 14"
"13","Georgia","2013","10.0","","15 TO 17"
"13","Georgia","2014","Suppressed","","0 TO 4"
"13","Georgia","2014","10.5","","5 TO 9"
"13","Georgia","2014","12.8","","10 TO 14"
"13","Georgia","2014","11.5","","15 TO 17"
"13","Georgia","2015","Suppressed","","0 TO 4"
"13","Georgia","2015","14.1","","5 TO 9"
"13","Georgia","2015","11.6","","10 TO 14"
"13","Georgia","2015","15.5","","15 TO 17"
"13","Georgia","2016","Suppressed","","0 TO 4"
"13","Georgia","2016","15.5","","5 TO 9"
"13","Georgia","2016","9.2","","10 TO 14"
"13","Georgia","2016","11.4","","15 TO 17"
"13","Georgia","2017","7.7","","0 TO 4"
"13","Georgia","2017","Suppressed","","5 TO 9"
"13","Georgia","2017","10.5","","10 TO 14"
"13","Georgia","2017","13.3","","15 TO 17"
"13","Georgia","2018","Suppressed","","0 TO 4"
"13","Georgia","2018","9.2","","5 TO 9"
"13","Georgia","2018","8.2","","10 TO 14"
"13","Georgia","2018","10.7","","15 TO 17"
"13","Georgia","2019","Suppressed","","0 TO 4"
"13","Georgia","2019","12.0","","5 TO 9"
"13","Georgia","2019","9.5","","10 TO 14"
"13","Georgia","2019","Suppressed","","15 TO 17"
